NCBI_Gene_ID,Ensembl_gene_ID,gene_symbol,HGNC_ID,gene_name,Status,Previous_symbols,Alias_symbols,Accession_numbers,RefSeq_IDs
8804,ENSG00000143162,CREG1,HGNC:2351,cellular repressor of E1A stimulated genes 1,Approved,CREG,NA,AF084523,NM_003851
200407,ENSG00000175874,CREG2,HGNC:14272,cellular repressor of E1A stimulated genes 2,Approved,NA,NA,AB046109,NM_153836
78987,ENSG00000163703,CRELD1,HGNC:14630,cysteine rich with EGF like domains 1,Approved,AVSD2,CIRRIN,AF452623,NM_015513
79174,ENSG00000184164,CRELD2,HGNC:28150,cysteine rich with EGF like domains 2,Approved,NA,MGC11256,BC050675,NM_024324
1390,ENSG00000095794,CREM,HGNC:2352,cAMP responsive element modulator,Approved,NA,hCREM-2,NA,NM_001881
1392,ENSG00000147571,CRH,HGNC:2355,corticotropin releasing hormone,Approved,NA,"CRF, CRH1",NA,NM_000756
1393,ENSG00000145708,CRHBP,HGNC:2356,corticotropin releasing hormone binding protein,Approved,NA,"CRF-BP, CRFBP",X58022,NM_001882
1394,ENSG00000120088,CRHR1,HGNC:2357,corticotropin releasing hormone receptor 1,Approved,CRHR,"CRF-R, CRF1",L23332,NA
1395,ENSG00000106113,CRHR2,HGNC:2358,corticotropin releasing hormone receptor 2,Approved,NA,"CRF2, CRF-RB, HM-CRF",NA,NA
51232,ENSG00000150938,CRIM1,HGNC:2359,cysteine rich transmembrane BMP regulator 1,Approved,S52,NA,AF168681,NM_016441
100288911,ENSG00000260025,CRIM1-DT,HGNC:54057,CRIM1 divergent transcript,Approved,NA,NA,NA,NR_037631
1396,ENSG00000213145,CRIP1,HGNC:2360,cysteine rich protein 1,Approved,NA,CRIP,NA,NM_001311
106480793,ENSG00000233252,CRIP1P1,HGNC:44516,cysteine rich protein 1 pseudogene 1,Approved,NA,NA,NA,NA
641456,ENSG00000238225,CRIP1P2,HGNC:44517,cysteine rich protein 1 pseudogene 2,Approved,NA,NA,NA,NA
106479040,ENSG00000227109,CRIP1P3,HGNC:44518,cysteine rich protein 1 pseudogene 3,Approved,NA,NA,NA,NA
641457,ENSG00000182351,CRIP1P4,HGNC:44519,cysteine rich protein 1 pseudogene 4,Approved,NA,NA,NA,NA
1397,ENSG00000182809,CRIP2,HGNC:2361,cysteine rich protein 2,Approved,NA,"CRP2, ESP1",NA,NM_001312
401262,ENSG00000146215,CRIP3,HGNC:17751,cysteine rich protein 3,Approved,NA,"TLP-A, bA480N24.2, TLP",AY555741,NA
9419,ENSG00000119878,CRIPT,HGNC:14312,CXXC repeat containing interactor of PDZ3 domain,Approved,NA,HSPC139,AA165108,NM_014171
167,ENSG00000124812,CRISP1,HGNC:304,cysteine rich secretory protein 1,Approved,AEGL1,"CRISP-1, ARP, HUMARP, HSCRISP1D, HSCRISP1G",D38451,NM_001131
7180,ENSG00000124490,CRISP2,HGNC:12024,cysteine rich secretory protein 2,Approved,"GAPDL5, TPX1","CRISP-2, CT36",X95239,NM_003296
10321,ENSG00000096006,CRISP3,HGNC:16904,cysteine rich secretory protein 3,Approved,NA,"SGP28, CRISP-3, CRS3, dJ442L6.3, Aeg2",X94323,NM_006061
83690,ENSG00000121005,CRISPLD1,HGNC:18206,cysteine rich secretory protein LCCL domain containing 1,Approved,LCRISP1,"Cocoacrisp, DKFZp762F133",AL834301,NM_031461
83716,ENSG00000103196,CRISPLD2,HGNC:25248,cysteine rich secretory protein LCCL domain containing 2,Approved,LCRISP2,"DKFZP434B044, LGL1",AL136861,NM_031476
1398,ENSG00000167193,CRK,HGNC:2362,"CRK proto-oncogene, adaptor protein",Approved,NA,NA,D10656,NM_016823
1399,ENSG00000099942,CRKL,HGNC:2363,"CRK like proto-oncogene, adaptor protein",Approved,NA,NA,NA,NM_005207
9244,ENSG00000006016,CRLF1,HGNC:2364,cytokine receptor like factor 1,Approved,NA,"CLF-1, CLF, CISS, CISS1",AF059293,NA
64109,ENSG00000205755,CRLF2,HGNC:14281,cytokine receptor like factor 2,Approved,NA,"CRL2, TSLPR",AF142570,NM_022148
51379,ENSG00000176390,CRLF3,HGNC:17177,cytokine receptor like factor 3,Approved,NA,"CREME9, CYTOR4",AF120151,NA
728815,ENSG00000236596,CRLF3P1,HGNC:54732,CRLF3 pseudogene 1,Approved,NA,NA,NA,NG_006659
285706,ENSG00000250391,CRLF3P2,HGNC:54733,CRLF3 pseudogene 2,Approved,NA,NA,NA,NG_002450
100124401,ENSG00000228225,CRLF3P3,HGNC:54742,CRLF3 pseudogene 3,Approved,NA,NA,NA,NG_006660
54675,ENSG00000088766,CRLS1,HGNC:16148,cardiolipin synthase 1,Approved,C20orf155,"dJ967N21.6, CLS1, GCD10",AF241784,NM_019095
1400,ENSG00000072832,CRMP1,HGNC:2365,collapsin response mediator protein 1,Approved,NA,"DRP-1, DPYSL1",D78012,NM_001313
643911,ENSG00000245694,CRNDE,HGNC:37078,colorectal neoplasia differentially expressed,Approved,NA,"LOC643911, LINC00180, CRNDEP",NA,NM_001308963
51340,ENSG00000101343,CRNKL1,HGNC:15762,crooked neck pre-mRNA splicing factor 1,Approved,NA,"CRN, CLF, SYF3, Clf1",AF255443,NA
